image_name,extracted_text
0000971160.png,"R&D QUALITY IMPROVEMENT
SUGGESTION/SOLUTION FORM

Nane/Phone Ext.: M. Hamann, P, Harper, P, Martinez Date: __9/3/92

Supervisor/Manager: J. S. Wigand RED Group: _Licensee

Suggestion:

Discontinue coal retention analyses on licensee submitted
product sauples. (Note: Coal Retention testing is not
performed by most licensees. Other B&W physical
Toasurenents as ends stability and inspection for soft
spots in cigarettes are thought to be sufficient measures
to assure cigarctte physical integrity. The proposed
action will increase laboratory productivity.)

Suggested Solution(s): Delete coal retention from the list of standard

analyses performed on licensee submitted
Product sanples. Speciel requests for coat
Zetention testing could still be submitted on
an exception basis.

Have you contacted your Manager/Supervisor? Yes No

Manager Connents: Manager, please contact suggester and forward
comments to the Quality Council.

aip-w

597005708

"
0000989556.png,"Page 1 of 10
RESTRICTED

BROWY 6 WILLIAMSON INTERNATIONAL TOBACCO
PRODUCT SPECIFICATION

Brand: __puoENrx Conpany: _B.A.T. CYPRUS

style: Hus - KE Country: “cyPRUS

Licensee Rel, Now: Markel
Place of Manufacture: NICOSIA

CIGARETTE MAKING

Physical Characteristics Weights

overall cigarette Length 84 mn Total Cigt. we. 978 mq
Tobacco Rod Length 64m
Filter Plug Length 2m wet Net Tobacco 749 ng
Filter Plug Pressure Drop (unencap,) 56mm

Filter Plug Pressure Drop (encap.)
Cigarette Circumference

total Pressure Drop (unencap.)
Total Pressure Drop (encap.)
‘Tipping Length

Print Position (from filter end)
Moisture Content (ex-catcher)
Filter ventilation Rate

Net Tob. Rod Density 245 _n9/cc

Tipping and Tipping application

Tipping Paper: Adhesive:
Supplier(s) Ecusta Supplier(s) _ swift,
Supplier Code Nols). _E.30639 Supplier code No(s). T.K.9220
color Thi tation Cork Type Printed imitation Cork
Pecforation type
and No. of lines __None Application pattern:
Porosity = (eoresta) Overall __x__ Skip other
Print peseription __Brows on yellow -
Bobbin width 30 am rm Glue Pree Area: N/A
Bobbin Length 2700 ‘2 Dimension mn x nm
substance 36 Give? positioning mn fron mouth ene

(indicate N/A Tf Not applicable)
Prepared by: ___M. HAMERTON / enm

pate: may 1, 1985

Approved by:
Dicector of Technical operations,
Brown & Williancon International

pate: ___May 2, 1985 ‘Tobacco

Replaces: __New pate: May 1, 1985

oso4s,

620419245
"
0000990274.png,"put

re
RECEIVEn

R 2K
DATE: March 27, 1984 964

COMPLETION

TARGET DATE: _April 13, 1984

counrny: BELGIUM
PROUCT: LUCKY STRIKE Filter and VICEROY

NATURE OF WORK:

Advise if locally obtained Yucatan Roney (sample
enclosed) is an acceptable substitute for HALWAY.

RED COMMENTS :

Tepe SA ae
pra well

Dare:

pores a) Nature of work should be specified in exact terms,

b) RsD should advise if completion date cannot be
met.

¢) Two copies of this form to be sent to RED by

initiator and RED is to return to 7.0, one
completed copy.

M/enn

0036/(r)

42894m

620429480
"
0000999294.png,"PDC # 7
# 1982-1020,

TOP-LINES Progect # 19821020, _
HOL PRODUCT TEST PAGE #1ng 4.

KOOL Lights KS vs, Bright KS Product Monitor

SUBJECT:
SAMPLE: 408 (200 Menthol Lights/105 Menthol ultra,
Lights/92. Non-Menthol. Ultras)
Frew pare; __ Septenber 13, 1982
TAR
CIGARETTES: # 839 / 869 KOOL Lights KS - white tip. 9.1 oT
ping masked
#869 / 839 Bright KS white tipping- 5.5 5513.5 41
masked/a certain proportion of the menthol result is pep-
pemtint O{1; R&D is unable to determine the percentage.
Tors ses eee ees 7 7 * 9 aptal Menthol Suckers
Tol ale Fale 2-38 ae
PREFERENCE: (re) (205) (99) (196) (96) (109)
KOOL. Lights Siett —_60ree 46 Set __50
Bright 39 34 43 35 42
No Preference: 8 6 n 8 8
100 100 100 00100
ADTRIBUTES otal vale Fenale 21-34 35
KL bright, KL Bright KL Bright _KL_ Bright Ku Bright
STRENGTH 4.31""* 4.59 4.094 4.45 4.51 4.71 43544 4.76 4.27 4.48
(7eStronger)
SMOOTHNESS 3.60% 3.42 3.73 3.43 3.47. 3.) 261 3.38 Use ae
(7=Smoother)
BMD, MENTHOL 3,6¢44* 4.94 3.584"" 4.85 _3.70""7* 5.02, 2.63** 5.31 asst ge
(7=More)
MENTHOL TASTE —3.309%** 3.04 3.46*** 3.02 _3.33** _3.06 _3.45#** 2.99 3aee og
(7=Better) ~
SATISFYING B.12s* 2.78 3.284 2.78 2.97 2.78 3,17#* 2.74 _3,08** 2.82
(7=More) —
APTERTASTE © a.sgee* 3.24 3.698"" 3.21 3.44 26 3.52tt* 3,07 3.60"" 3.39
(7=Pleasant) a OE —_——o—o
EASE_OF piiaw 4.00 3.96 4.02 3.95 3.99 3.96 4.07 _3.52 3.94 3.99
(7=Easier) ——

WOT"": Attribute scores reflect a_camparisan of the test product to the sncker's most often brand.

4/-/* Directional Difference:
++/--/#* Marginal Difference:
++4/---/#** Significant Difference:

66-79% Confidence Level
80-94% Confidence Level
954% Confidence Level

620915734
"
0001118259.png,"Reconstituted Tobacco Leaf Substitutions
Export Formulas
Revision Date: 05/11/95

Allowable Grade Substitutions
for Export CPCL

Allowable Substitutions
RPCFS or RPCFS-O

eer

EoeSes eae

ee RPCBS or RPCBS-O.
wcc

MC-4-S
MC-4-PH
MC-4-RC
MC-4-W

MC-1

— {C Stem

| RXF “Fine fiue cure RRXF or RRXF-O
RRXM-B
RRXM-T

RRBF or RRBF-O
RRB-B
RRB-L

RRB-T

SSbpuustey
"
0001123541.png,"m°

> QUALITY IMPROVEMENT SUGGESTION
OUR MISSION IS SUPERIOR CONSUMER SATISFACTION
Highest Quality, Teamwork, Do Right Things Right The First Time
RESEARCH & DEVELOPMENT
parEr_June 21, 1993EPARTMENT: __R&D Library
SUBMITTED BY: carol §. Lincoln.

SUBMIZZER'S ssf: __407-64-3484

SUGGESTION: (Describe Current Situation and idea)

specific, when we should be getting more general. Right now, people mst work to understand

the system. We must spend too much time administ:

our files.

ing the system, labeling, and cleaning
Complying is a real burden, both for the individual and for the reconis
coordinators.

1. Drop the category specifications altogether.

2, Use moregeneral categories.

hy: dha 2a pd es ea ath ta iy 0 gant fy —
worst one lad aooi Scones Se pgen

‘RESPOND HERE Yepleaent: []res [Jno [jrending nate
o
4)
iS
b
°
a
P
“‘pproval Siguature/Date (Son & Pein dames) Reepondez/Date rz)

(See Instructions On Back)
"
0001129658.png,"WINSTON & STRAWN | geese. 2%

ce
MAMUTRAL SITE, 3000 FIRST UNION FNANEIAL CENTER, ZOO SOUTH BISCAYNE

BOULEVARS, MAM, ORDA 33131
Fax; (OS) 400-8106

200 Pat avo

Wagar, DC 2005-2502 owcaie, COBO!
2ons71 780 Stessescco.

Fax Number: 305 400-6107
From: Kevin Narko CHARGEBACK:

4162/158
Dare: 10/13/99

Please Deliver as Soon as Possible To:

‘RECIPIENT ‘COMPANY FaxNo, PHONE No.
John Mulderig Philip Morris 917-663-5796 __| 917-663-3056
Gregory Little Philip Morris 917-663-5979

Total number of pages including this page:
COMMENTS

‘FYOUDO NOT RECEIVE ALL THE PAGES, PLEASE CALL OUR FAX OPERATOR AS SOON AS POSSIBLE.
THANK YoU.

312-558-5948

‘The information contained inthis facie message is nltorney privileged and confidential information intended only forthe
use of the individeal or entity named above If te reader of this message isnot the intended recipient, oF the employes or agent

‘responsible to deliver it othe intended reejpion, you are hereby notified that any dissemination, ietbutien or copying of this
ccomsmnicaton is sity prohibited.

you have received this communication in eror, please immediately notify us by telephone, and retum the original message
sw usatthe above address vie the U.S, Postal Service Thank you.
‘Operator Initials:

Confirmation: Yes ‘Name:

g169S6VL0%
"
0001209043.png,"a

Brand
Title
Code #
Size

Magazine

Field bate

Location

MAGAZ:

SCORES

AUDIENCE STUDIES

SALEM (RJR) :

EAD IN WATER""

FULL PAGE

rime

NEEK OF MARCH 25, 1974

CHICAGO, DALLAS/FORT WORTH, INDIANAPOLIS, LOS ANGELES

Project # 74-80

Total Sample 214

MEMPHIS, PHILADELPHIA, PITTSBURGH

Sample Description MALE AND FEMALE MENTHOL SMOKERS
PN6 PROVED RECALL COMMENTS
SCORE BASE SCORE BASE
7 ae
OVERALL: 1.0 (97 31_ (267) Tested among a half sample
of smokers. Sub-group

Under 25
25-34
35-44
45 & Over

Under 35
35 & Over

BRAND SMOKED:

Test Brand Smokers
\\ALL Other Snokers

2.0 (5D) i) a OE)
o.0 46) 3 eA)
2.4 (42) 33.0 (81)
0.0 55) zm Ce)

33. (42)
30. (225)

scores subject to wide
variation because of small
sample size and should be
averaged across several
ads for meaningful infor-
mation.

Date Sent 4/19/74

‘770205964
"
0001239897.png,"HONEMPITHOL pRooueE sBeT

summers i Reolacenent of Propylene Glycol with SORBITOL

oaMPLE 250 VICRROY/I25 Hox tboro/125 winston

cTOARETIES
9627/4842 ~ current vicEROY 84

(4607/4527 ~ Current VICEROY 84 oxcopt with
25H 9f the propylene glycol
replaced with SORBITOL.

aBrERENCE:
is27/637)
isa7/ez7) 2h pa wich soaarroL

acmanporass viceroy competitive
Gorrent THF Taareat a
VICEROY 88 w/sonorToL, VICEROY 84 w/soReTzo,
(0627/7) (@ 687/621) (W e277547) “Thets/627

crenata A
uaRsHEES =e
NPTERTASTE EFI

ort oF ur ru Lac Ls
Gat br tue Betas BEING Prive

"
0001438955.png,"REWSPAPER SCORES
AUDIENCE STUDIES

Brand BELAIR Project # paca.
pitle “KALEIDOSCOPE--GONE WITH THE WIND""* gota) Sample __285
Code # R/BSS-71-19

1 Page, 4-Color

Type Of Ad _PARAD!

Newspaper (Date) __ Pittsburgh PITTSBURGH PRES! (4/23/72)
jan_Dieqo SAN DIEGO UNION 14/23/72) =
Dayton DAYTON NEW: (4/23/72)
Birmingham BIRMINGHAM NEWS 4/23/72
PMG PROVED RECALL, comments

ie. 222 ‘*This was a combination
ad with RALEIGH.

L
E

SEX
104 7 (ou

Female (120) 7 Gay

AGE

Under 25 3.2 (63)

25-34 30 (C66:

35-44 ae (46

45 & Over -ao Cay

under 35 Zeb (299) 5 aay

35 & Over 4.2 95) 3 Gast -

BRAND SMOKED:
t Test Brand Smokers
All Other smokers

"
